PU;NAME;WGMS_ID;SURVEY_ID;SURVEY_DATE;REFERENCE_DATE;AREA_SURVEY_YEAR;AREA_CHANGE;ELEV_CH;ELEV_CH_UNC;INVESTIGATOR;SPONS_AGENCY;REFERENCE;REMARKS
CH;BOUQUETINS GLACIER DES (PART OF B73/32N);5579;2711;20109999;19839999;0.124;-102;-26019;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2788.0. ID SGI 2010: B73/10.
CH;BOUQUETINS-E;5554;2686;20109999;19699999;0.025;-2;-3611;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2520.0. ID SGI 2010: B63/19n.
CH;BOUQUETINS-I (PART OF B73/32N);5589;2721;20109999;19839999;0.174;-81;-21474;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2778.0. ID SGI 2010: B73/29n.
CH;BOUQUETINS-II (PART OF B73/32N);5590;2722;20109999;19839999;0.061;-161;-21578;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2804.0. ID SGI 2010: B73/30n.
CH;BOUSSINE-N;5642;2774;20109999;19679999;0.238;-144;-5540;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2868.0. ID SGI 2010: B82/39.
CH;BOUSSINE-S;5641;2773;20109999;19839999;0.337;-136;-15438;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2885.0. ID SGI 2010: B82/38.
CH;BOVAL DADAINS VADRET-N;5798;2930;20099999;19919999;0.035;-135;-24200;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1641.0. ID SGI 2010: E22/08.
CH;BOVAL DADAINS VADRET-NE;5797;2929;20099999;19919999;0.052;-93;-31191;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1652.0. ID SGI 2010: E22/07.
CH;BOVAL DADOUR VADRET;5799;2931;20099999;19919999;0.142;-188;-22581;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1596.0. ID SGI 2010: E22/10.
CH;BOVEYRE;459;452;20109999;19839999;1.619;0;-16270;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2800.0. ID SGI 2010: B84/04.
CH;BRAENDJI;5528;2661;20119999;19729999;0.076;-169;-36363;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2191.0. ID SGI 2010: B60/03.
CH;BRANDLAMMHORN-E;5055;2199;20109999;19739999;0.102;-141;-23749;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 923.0. ID SGI 2010: A54G/69n.
CH;BRANDLAMM-LICKEN-NE;5031;2175;20109999;19739999;0.068;-159;-27374;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 927.0. ID SGI 2010: A54G/24.
CH;BREITHORN;2311;1070;20119999;19869999;2.701;-1000;-20030;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1347.0. ID SGI 2010: A54M/19.
CH;BREITHORNJOCH-SW;5248;2389;20119999;19739999;0.069;-6;-4060;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1462.0. ID SGI 2010: B31/01.
CH;BREITHORN-N;5267;2408;20119999;19789999;0.048;-57;-3323;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1739.0. ID SGI 2010: B31/26n.
CH;BREITHORN-NE;5266;2407;20119999;19789999;0.096;-1;-7500;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1734.0. ID SGI 2010: B31/25n.
CH;BREITHORN-SE;5295;2436;20119999;19789999;0.05;0;-6232;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1767.0. ID SGI 2010: B34/07n.
CH;BREITHORN-SE (GROUP OF GLACIERETS);5258;2399;20119999;19739999;0.022;-9;-4662;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1487.0. ID SGI 2010: B31/15n.
CH;BREITHORN-SW;5246;2387;20119999;19739999;0.026;-6;-1927;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1477.0. ID SGI 2010: B30/23n.
CH;BREITLAUIJOCH-NW;5276;2417;20119999;19789999;0.014;-5;-14425;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1807.0. ID SGI 2010: B32/11n.
CH;BREITS LOIB;5733;2865;20119999;19819999;0.014;-72;-33798;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2174.0. ID SGI 2010: C02/03.
CH;BRENEY;368;269;20109999;19839999;7.008;-3000;-20620;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2766.0. ID SGI 2010: B82/19.
CH;BRESCIANA;465;464;20099999;19839999;0.478;0;-23320;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1267.0. ID SGI 2010: C44/02.
CH;BRICHLIG-S;4749;1905;20109999;19739999;0.01;-24;-8162;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 442.0. ID SGI 2010: A14K/01.
CH;BRICOLA GLACIER DE;5559;2691;20109999;19699999;1.005;-392;-15896;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2547.0. ID SGI 2010: B72/07.
CH;BRISTEN-N;4842;1994;20109999;19739999;0.025;-45;-3072;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 421.0. ID SGI 2010: A51D/27.
CH;BROCHET GLACIER DU;5230;2371;20109999;19749999;0.117;-262;-17767;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 1987.0. ID SGI 2010: B22/04.
CH;BRUENBERG-N;5030;2174;20109999;19739999;0.03;-72;-17704;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 947.0. ID SGI 2010: A54G/23.
CH;BRUENBERG-NE;5053;2197;20109999;19739999;0.008;-74;-15356;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 945.0. ID SGI 2010: A54G/67n.
CH;BRUENBERG-NW;5054;2198;20109999;19739999;0.006;-3;-6742;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 954.0. ID SGI 2010: A54G/68n.
CH;BRUNEGG;384;285;20119999;19869999;5.518;-1000;-16980;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 2242.0. ID SGI 2010: B60/20n.
CH;BRUNNENFIRN-E;4883;2034;20109999;19869999;0.219;-105;-19484;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 609.0. ID SGI 2010: A51F/20.
CH;BRUNNENFIRN-S;4924;2074;20109999;19869999;0.269;-96;-15621;;Fischer et al.;Department of Geosciences, University of Fribourg, 1700 Fribourg, Switzerland;Fischer, M., et al., 2014, Arct., Antarc. Alp. Res., 46, 933-945, 10.1657/1938-4246-46.4.933;Survey date method: P & L. Reference date method: M. ID SGI 1973: 558.0. ID SGI 2010: A51F/75n.
